Coin_name,Current_price,Market_Cap(USD_Billion),24H_Volume(USD_Billion),Circulating_supply(USD_Billion)
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.82,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
USDT,1.02,68.34,36.64,68.33
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19650.83,374.12,27.77,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
BTC,19632.49,374.07,27.66,19.17
